Rank,City Name,Population,Longitude,Latitude
1,Bratislava,423737,17.107,48.148
2,Košice,236563,21.258,48.714
3,Prešov,94718,21.234,48.998
4,Nitra,86329,18.085,48.308
5,Žilina,85985,18.739,49.223
6,Banská Bystrica,82336,19.153,48.739
7,Trnava,69785,17.587,48.377
8,Martin,60817,18.924,49.067
9,Trenčín,58278,18.044,48.895
10,Poprad,57431,20.298,49.061
11,Prievidza,52987,18.627,48.774
12,Zvolen,44502,19.153,48.574
13,Považská Bystrica,43936,18.440,49.120
14,Nové Zámky,42044,18.160,47.980
15,Michalovce,40360,21.911,48.760
16,Spišská Nová Ves,39195,20.560,48.950
17,Levice,37574,18.600,48.220
18,Komárno,36279,18.130,47.760
19,Humenné,35367,21.911,48.930
20,Liptovský Mikuláš,33509,19.610,49.080
21,Bardejov,33060,21.270,49.290
22,Ružomberok,30806,19.310,49.080
23,Piešťany,30000,17.820,48.600
24,Lučenec,28159,19.660,48.340
25,Dubnica nad Váhom,26617,18.180,48.970
26,Rimavská Sobota,25235,20.020,48.390
27,Čadca,24670,18.780,49.440
28,Šaľa,24513,17.880,48.150
29,Partizánske,24370,18.400,48.640
30,Hlohovec,23930,17.800,48.440
31,Dunajská Streda,23639,17.610,48.000
32,Vranov nad Topľou,23246,21.690,48.890
33,Trebišov,22947,21.730,48.640
34,Snina,22221,22.150,48.990
35,Senica,21741,17.370,48.680
36,Nové Mesto nad Váhom,21527,17.830,48.750
37,Kežmarok,21391,20.420,49.140
38,Pezinok,21343,17.270,48.290
39,Brezno,21331,19.640,48.810
40,Žiar nad Hronom,19392,18.860,48.590
41,Rožňava,19261,20.540,48.670
42,Dolný Kubín,18995,19.300,49.220
43,Bánovce nad Bebravou,18933,18.250,48.720
44,Púchov,18833,18.320,49.120
45,Handlová,18018,18.760,48.730
46,Malacky,17773,17.020,48.440
47,Kysucké Nové Mesto,16558,18.780,49.300
48,Galanta,16365,17.730,48.200
49,Stará Ľubovňa,16000,20.690,49.300
50,Zlaté Moravce,15618,18.400,48.390
51,Detva,15020,19.330,48.580
52,Skalica,15013,17.230,48.850
53,Senec,14673,17.400,48.230
54,Levoča,14511,20.610,48.220
55,Revúca,13466,20.110,48.690
56,Myjava,13142,17.570,48.770
57,Veľký Krtíš,12608,19.350,48.200
58,Svidník,12428,21.560,49.310
59,Nová Dubnica,12358,18.160,48.970
60,Sabinov,12290,21.100,49.100
61,Šamorín,12143,17.310,48.030
62,Štúrovo,11708,18.620,47.810
63,Holič,11416,17.160,48.810
64,Bytča,11279,18.550,49.220
65,Stropkov,10874,21.650,49.200
66,Kolárovo,10823,17.980,47.930
67,Šurany,10491,18.180,48.080
68,Stará Turá,10291,17.690,48.770
69,Fiľakovo,10198,19.830,48.270
70,Banská Štiavnica,10191,18.890,48.450
71,Tvrdošín,9544,19.550,49.340
72,Moldava nad Bodvou,9525,20.990,48.600
73,Vráble,9493,18.310,48.240
74,Veľký Meder,9113,17.770,47.860
75,Krompachy,8812,20.870,48.910
76,Modra,8536,17.320,48.330
77,Hriňová,8289,19.530,48.580
78,Hurbanovo,8153,18.190,47.870
79,Námestovo,8135,19.480,49.410
80,Stupava,8063,17.020,48.270
81,Šahy,8061,18.950,48.080
82,Chlmec,8031,21.930,48.900
83,Krupina,7991,19.070,48.350
84,Turzovka,7854,18.620,49.400
85,Sečovce,7819,21.670,48.680
86,Sliač,7748,19.140,48.620
87,Spišská Belá,7693,20.450,49.190
88,Svätý Jur,7637,17.220,48.250
89,Medzilaborce,7615,21.900,49.270
90,Vysoké Tatry,7605,20.210,49.140
91,Velké Kapušany,7540,22.080,48.550
92,Gelnica,7448,20.930,48.850
93,Tlmače,7314,18.550,48.290
94,Rajec,7286,18.640,49.080
95,Topoľčany,7203,18.160,48.560
96,Žarnovica,7032,18.720,48.480
97,Turčianske Teplice,6820,18.870,48.860
98,Buďkovce,6701,21.870,48.760
99,Vrbové,6503,17.730,48.620
100,Spišské Podhradie,6378,20.740,49.000
101,Vrútky,6264,18.920,49.120
102,Zborov,6120,21.260,49.320
103,Nová Baňa,5998,18.640,48.420
104,Dunajská Lužná,5800,17.260,48.100
105,Nesvady,5732,18.090,47.920
106,Komjatice,5619,18.090,48.100
107,Smolenice,5562,17.430,48.510
108,Veľký Biel,5498,17.370,48.200
109,Rakovice,5420,17.730,48.550
110,Kostolné,5320,18.240,48.670
111,Limbach,5208,17.260,48.330
112,Rusovce,5103,17.180,48.060
113,Veľká Lomnica,5048,20.360,49.120
114,Kysak,4912,21.170,48.830
115,Lemešany,4864,21.300,48.850
116,Valča,4756,18.900,49.120
117,Radošina,4621,17.970,48.500
118,Dunajov,4552,18.790,49.370
119,Plešivec,4440,20.400,48.580
120,Rimavská Seč,4339,20.080,48.370
121,Hontianske Nemce,4268,18.930,48.370
122,Čierna nad Tisou,4230,22.080,48.420
123,Brusno,4180,19.380,48.800
124,Rohovce,4140,17.460,48.040
125,Bošany,4109,18.220,48.580
126,Chocholná,4078,17.880,48.890
127,Jasenica,4020,18.210,49.140
128,Brezovička,3985,21.120,49.020
129,Lozorno,3928,17.020,48.310
130,Oravská Polhora,3870,19.520,49.480
131,Vištuk,3801,17.380,48.370
132,Zemianske Kostoľany,3758,18.470,48.630
133,Veľké Leváre,3721,17.010,48.460
134,Liptovské Revúce,3675,19.190,48.950
135,Torňaľa,3622,20.320,48.430
136,Chorvátsky Grob,3550,17.290,48.210
137,Makov,3498,18.460,49.370
138,Klátova Nová Ves,3446,18.250,48.580
139,Holumnica,3384,20.380,49.130
